Id,cateId,picS,picB,name,describe,price,originPrice,author,brand,publishDate,sellerId,isPChome,isNC17,couponActid,BU
DHAS1U-1900FUROL,DHAS1U,/items/DHAS1U1900FUROL/000001_1684746174.jpg,/items/DHAS1U1900FUROL/000001_1684746174.jpg,ASUS FX517ZE-0041D12650H 御鐵黑(i7-12650H/16G/RTX3050 Ti/512G PCIe/W11/FHD/144Hz/15.6),"獨家專案★原價$40900★特價$32999↘ASUS FX517ZE 15.6吋電競i7-12650H/16G/RTX3050 Ti/512G PCIe\r\n▃▅★asus tuf gaming。強勢來襲★▅▃
★超狂效能intel® core™ i7-12650h
★rtx-3050ti獨顯效能
★mux獨顯直連開關
★軍規等級耐用度
★雙向ai降噪

處理器：12th gen intel® core™ i7-12650h processor 2.3 ghz
記憶體：16gb ddr5-4800 so-dimm
硬碟：512gb pcie® 3.0 nvme™ m.2 ssd
獨立顯卡：nvidia® geforce rtx™ 3050 ti laptop gpu 4gb gddr6
螢幕：15.6"" fhd (1920 x 1080) 16:9 144hz value ips-level anti-glare display
無線網路：wi-fi 6(802.11ax) (dual band) 2*2 + bluetooth 5.1
光碟機： 無
電池：76whrs  4s1p  4-cell li-ion
尺寸：35.4 x 25.1 x 1.99 ~ 2.07 cm
作業系統：windows 11 home
保固：2年全球保固 + 首年免預付完美保固",35900,35900,,,,,1,0,['C033413'],ec
DHAS4M-A900FBDIN,DHAS4M,/items/DHAS4MA900FBDIN/000001_1685326474.jpg,/items/DHAS4MA900FBDIN/000001_1685326474.jpg,ASUS ROG Strix G17 G713RC-0032F6800H(AMD R7-6800H/16G/RTX3050/512G PCIe/W11/FHD/144Hz/17.3),"獨家網購機ROG Strix G17 G713RC 17.3吋電競筆電AMD R7-6800H/16G/RTX3050/512G PCIe\r\n▃▅★asus rog strix。強勢來襲★▅▃ 
★高效能amd 6000系列
★mux獨顯直連開關
★液態金屬最高降低cpu溫度16度
★四個風扇出口

螢幕：17.3-inch fhd (1920 x 1080) 16:9 144hz
處理器:amd ryzen™ 7 6800h mobile processor
硬碟：512gb pcie® 4.0 nvme™ m.2 ssd
記憶體：16gb ddr5-4800 so-dimm
獨立顯卡：nvidia® geforce rtx™ 3050 laptop gpu 4gb gddr6
無線網路：wi-fi 6e(802.11ax) (dual band) 2*2 + bluetooth 5.2
光碟機： 無
重量：2.50 kg
尺寸：39.5 x 28.2 x 2.14 ~ 2.65 cm
作業系統：windows 11 home
保固：2年全球保固 + 首年免預付完美保固",33999,33999,,,,,1,0,['C033413'],ec
DHAS4M-A900E4H9R,DHAS4M,/items/DHAS4MA900E4H9R/000001_1647346810.jpg,/items/DHAS4MA900E4H9R/000001_1647346810.jpg,ASUS ROG Strix G17 G713RM-0042F6900HX 潮魂黑(R9-6900HX/16G/RTX-3060/1TB PCIE/W11/FHD/360Hz/17.3),"AMD 6000系列★RTX3060獨顯★PD充電[Strix G 進化 經典潮流]ROG Strix G17 G713RM-0042F6900HX 潮魂黑電競筆電\r\n▃▅★asus rog strix g 。強勢來襲★▅▃ 
★全新升級 360hz 薄邊框設計 
★超爽視覺享受 rtx 3060 獨顯6g效能
★超屌效能 搭載全新 amd ryzen™ 9 6900hx 處理器
★支援type-c pd 充電技術   支援 wi-fi 6 802.11ax
★兼具潮電競時尚與功能性: d件 rgb lightbar   cpu液態金屬散熱   全新刀鋒式3d風扇   防塵散熱通道
★0分貝風散寂靜模式   支援視訊ai降噪 

螢幕：17.3’(薄邊框) fhd 1920x1080 16:9 360hz 3ms ips-level  anti glare ntsc 72% srgb 100%   adaptive-sync   dolby vision
處理器：amd ryzen™ 9 6900hx processor (20mb cache  up to 4.9 ghz)
記憶體：16gb ddr5 4800
硬碟：1tb m.2 nvme™ pcie® 4.0 ssd
獨立顯卡：nvidia® geforce rtx™ 3060 gddr6 6gb(具備mux獨顯直連)
無線網路：wi-fi 6e(802.11ax)+bluetooth 5.2 (dual band) 2*2
光碟機： 無
介面：hdmi、usb type c 3.2 (gen.2)
重量：2.90 kg
厚度：2.34 ~ 2.83 cm
作業系統：windows 11 home
保固：2年全球保固 + 首年免預付完美保固",40999,40999,,,,,1,0,[],ec
DHAS4J-A900F36BJ,DHAS4J,/items/DHAS4JA900F36BJ/000001_1662089789.jpg,/items/DHAS4JA900F36BJ/000001_1662089789.jpg,ASUS FA506ICB-0132B4800H 戰魂黑(AMD R7-4800H/8G/RTX3050/512G PCIe/W11/FHD/144Hz/15.6),"RTX3050獨顯電競【ASUS TUF Gaming】ASUS FA506ICB-0132B4800H\r\n▃▅★asus tuf gaming。強勢來襲★▅▃
★全新顯卡視覺享受 rtx3050獨顯4g效能
★超屌效能 amd ryzen 7 4800h 
★超狂容量 512gb m.2 nvme™ pcie® 3.0 ssd
★15吋fhd ips 大屏佔比 144hz  
★支援雙螢幕輸出
★單區rgb多彩鍵盤 防塵散熱通道
★薄邊框 通過軍規測試 

處理器：amd ryzen 7 4800h mobile processor
記憶體：8gb ddr4-3200 so-dimm (2slot可擴充 佔用1 max.32g)
硬碟：512gb m.2 nvme™ pcie® 3.0 ssd
獨立顯卡：nvidia® geforce rtx™ 3050 gddr6 4gb
螢幕：15.6 吋 fhd (1920 x 1080) 16:9 250nits 144hz ag  value ips-level
無線網路：wi-fi 6(802.11ax)+bluetooth 5.1 (dual band) 2*2
光碟機： 無
介面：3x usb 3.2 gen 1 type-a、1x usb 3.2 gen 1 type-c support displayport
電池：48whrs  3s1p  3-cell li-ion
重量：2.3 kg
厚度：2.45cm
作業系統：windows 11 (64bit)
保固：2年全球保固 + 首年免預付完美保固


本商品詳細規格",25999,25999,,,,,1,0,['C033413'],ec
DHAS1U-A900FBIAC,DHAS1U,/items/DHAS1UA900FBIAC/000001_1681353565.jpg,/items/DHAS1UA900FBIAC/000001_1681353565.jpg,ASUS FX506HC-0152B11400H 戰魂黑(i5-11400H/8G/RTX 3050/512G PCIe/W11/FHD/144Hz/15.6),"ASUS FX506HC 15.6吋電競筆電i5-11400H/8G/RTX 3050/512G PCIe\r\n▃▅★asus tuf gaming。強勢來襲★▅▃
★全新顯卡視覺享受 rtx 3050獨顯4g效能
★144hz 薄邊框設計ips level
★單區rgb多彩鍵盤
★支援雙螢幕輸出
★防塵散熱通道
★mil-std-810h 軍規測試 
★支援adaptivesync 防畫面撕裂技術

處理器：intel® core™ i5-11400h processor 2.7 ghz
記憶體：8gb ddr4 3200
硬碟：512gb m.2 nvme™ pcie® 3.0 ssd
獨立顯卡:nvidia® geforce rtx™ 3050 gddr6 4gb
螢幕：15.6’(薄邊框) fhd 1920x1080 16:9 144hz ips-level  anti glare
無線網路：wi-fi 6(802.11ax) (dual band) 2*2 + bluetooth 5.2
光碟機： 無
電池：90whrs  4s1p  4-cell li-ion
重量：2.30 kg
厚度：2.28 ~ 2.45 cm
作業系統：windows 11 (64bit)
保固：2年全球保固 + 首年免預付完美保固

本商品詳細規格",25999,25999,,,,,1,0,['C033413'],ec
DHAS4J-A900F38A9,DHAS4J,/items/DHAS4JA900F38A9/000001_1675129117.jpg,/items/DHAS4JA900F38A9/000001_1675129117.jpg,ASUS FA706ICB-0092B4600H 戰魂黑(AMD R5-4600H/8G/RTX3050/512G PCIe/W11/FHD/144Hz/17.3),"17.3吋AMD薄邊框電競【ASUS TUF Gaming】FA706ICB-0092B4600H 戰魂黑\r\n▃▅★asus tuf gaming。強勢來襲★▅▃
★全新顯卡視覺享受 rtx3050獨顯4g效能
★超屌效能 amd ryzen™ 5 4600h
★超狂容量 512gb m.2 nvme™ pcie® 3.0 ssd
★17.3吋fhd ips 大屏佔比 144hz  
★支援雙螢幕輸出
★單區rgb多彩鍵盤 防塵散熱通道
★薄邊框 通過軍規測試 

處理器：amd ryzen™ 5 4600h mobile processor
記憶體：8gb ddr4 3200
硬碟：512gb pcie 3.0 nvme m.2 ssd
獨立顯卡：nvidia® geforce rtx™ 3050 gddr6 4gb
螢幕：17.3 吋 fhd (1920 x 1080) 16:9 250nits 144hz ag
無線網路：wi-fi 6(802.11ax)+bluetooth 5.1 (dual band) 2*2
光碟機： 無
介面：1x rj45 lan port、3x usb 3.2 gen 1 type-a、1x usb 3.2 gen 1 type-c support displayport™
電池：90whrs  4s1p  4-cell li-ion
重量：2.6 kg
厚度：2.48cm
作業系統：windows 11 (64bit)
保固：2年全球保固 + 首年免預付完美保固


本商品詳細規格",25999,25999,,,,,1,0,"['C033413', 'C035737', 'C035738']",ec
DHAS4M-A900E4H9I,DHAS4M,/items/DHAS4MA900E4H9I/000001_1678185061.jpg,/items/DHAS4MA900E4H9I/000001_1678185061.jpg,ASUS ROG Strix G15 G513RC-0042F6800H 潮魂黑(R7-6800H/8G/RTX 3050-4G/512G PCIE/W11/FHD/144Hz),"AMD 6000系列★RTX3050獨顯★[Strix G 進化 經典潮流]ROG Strix G15 G513RC-0042F6800H 潮魂黑 15.6吋電競筆電\r\n▃▅★asus rog strix g 。強勢來襲★▅▃ 
★全新升級 144hz 薄邊框設計 
★超爽視覺享受 rtx 3050 獨顯4g效能
★超屌效能 搭載全新 amd r7-6800h 處理器
★ pcie® 4.0   高速 wi-fi 6
★0分貝風散寂靜模式   d件 rgb 燈效

螢幕：15.6’(薄邊框) fhd 1920x1080 16:9 144hz ips-level  anti glare  adaptive-sync   dolby vision
處理器：amd ryzen™ 7 6800h processor
記憶體：8gb ddr5 4800
硬碟：512gb m.2 nvme™ pcie® 4.0 ssd
獨立顯卡：nvidia® geforce rtx™ 3050 gddr6 4gb
無線網路：wi-fi 6(802.11ax)+bluetooth 5.2 (dual band) 2*2
光碟機： 無
介面：hdmi、usb 3.2 gen 2 type-c support displayport™
重量：2.10 kg
厚度：2.06 ~ 2.59 cm
作業系統：windows 11 home
保固：2年全球保固 + 首年免預付完美保固",33999,33999,,,,,1,0,['C033413'],ec
DHAS1U-A900G1P4O,DHAS1U,/items/DHAS1UA900G1P4O/000001_1680834066.jpg,/items/DHAS1UA900G1P4O/000001_1680834066.jpg,ASUS FX507ZC4-0051A12500H 機甲灰(i5-12500H/8GB/RTX 3050/512G PCIe/W11/FHD/144Hz/15.6),"12代i5 RTX3050ASUS TUG F15 Gaming FX507ZC4 15.6吋電競筆電i5-12500H/8GB/RTX 3050/512G PCIe\r\n▃▅★asus tuf gaming。強勢來襲★▅▃
★mil-std-810h 軍規測試
★支援adaptive sync防撕裂技術
★單區rgb多彩鍵盤 實體數字鍵
★全新刀鋒式3d風扇
★0分貝風散寂靜模式
★支援ai 降噪技術
★30分鐘充電50%快充技術 

處理器：12th gen intel® core™ i5-12500h processor 2.5 ghz (18m cache  up to 4.5 ghz  12 cores: 4 p-cores and 8 e-cores)
記憶體：8gb ddr4-3200 so-dimm
硬碟：512gb pcie® 3.0 nvme™ m.2 ssd
獨立顯卡：nvidia® geforce rtx™ 3050 laptop gpu 4gb gddr6
螢幕：15.6-inch  fhd (1920 x 1080) 16:9  144hz  value ips-level  250nits  anti-glare display
無線網路：wi-fi 6(802.11ax) (dual band) 2*2 + bluetooth® 5.2 (*bluetooth® version may change with os version different.)
光碟機： 無
重量：2.2 kg
厚度：2.24 ~ 2.49 cm
作業系統：windows 11 home
保固：2年全球保固 + 首年免預付完美保固


本商品詳細規格",28999,28999,,,,,1,0,[],ec
DHAS1U-A900G59FQ,DHAS1U,/items/DHAS1UA900G59FQ/000001_1681439654.jpg,/items/DHAS1UA900G59FQ/000001_1681439654.jpg,ASUS FX706HF-0022B11400H 石墨黑(i5-11400H/8G/RTX 2050/512G PCIe/W11/FHD/144Hz/17.3),"RTX20系列 11代i5ASUS FX706HF 17.3吋電競筆電i5-11400H/8G/RTX 2050/512G PCIe\r\n▃▅★asus tuf gaming。強勢來襲★▅▃
★144hz 薄邊框設計
ips level
單區rgb多彩鍵盤
hdmi & type-c with display port 支援雙螢幕輸出
防塵散熱通道
tuf 電競滑鼠  
mil-std-810h 軍規測試
支援2個m.2 pcie ssd 擴充slot
支援adaptivesync 防畫面撕裂技術


處理器：intel® core™ i5-11400h processor 2.7 ghz (12m cache  up to 4.5 ghz  6 cores)
記憶體：8gb ddr4-3200 so-dimm
硬碟：512gb pcie® 3.0 nvme™ m.2 ssd
獨立顯卡:nvidia® geforce rtx™ 2050 4gb gddr6
螢幕：17.3 ""(薄邊框) fhd (1920 x 1080) 16:9 144hz ips-level anti-glare adaptive-sync
無線網路：wi-fi 6(802.11ax) (dual band) 2*2 + bluetooth® 5.2
光碟機： 無
電池：48whrs  3s1p  3-cell li-ion
重量：2.60 kg
厚度： 2.33 ~ 2.48 cm
作業系統：windows 11 (64bit)
保固：2年全球保固 + 首年免預付完美保固

本商品詳細規格",23999,23999,,,,,1,0,[],ec
DHAS4J-A900ENMR2,DHAS4J,/items/DHAS4JA900ENMR2/000001_1681120740.jpg,/items/DHAS4JA900ENMR2/000001_1681120740.jpg,ASUS FA707RC-0021B6800H 御鐵灰(AMD R7-6800H/8G/RTX3050-4G/512G PCIe/W11/FHD/144Hz/17.3),"AMD-R7 RTX3050ASUS FA707RC 17.3吋電競筆電R7-6800H/8G/RTX3050-4G/512G\r\n▃▅★asus tuf gaming。強勢來襲★▅▃
★全新顯卡視覺享受 rtx3050獨顯4g效能
★超屌效能 amd ryzen™ 7 6800h
★超狂容量 512gb m.2 nvme™ pcie® 3.0 ssd
★17.3吋fhd ips 大屏佔比 144hz  
★支援雙螢幕輸出
★單區rgb多彩鍵盤 防塵散熱通道
★薄邊框 通過軍規測試 

處理器：amd ryzen™ 7 6800h processor
記憶體：8gb ddr5 4800
硬碟：512gb m.2 nvme™ pcie® 3.0 ssd
獨立顯卡：nvidia® geforce rtx™ 3050 4gb gddr6
螢幕：17.3"" fhd ips 1920x1080 薄邊框螢幕
無線網路：wi-fi 6(802.11ax)+bluetooth 5.1 (dual band) 2*2
光碟機： 無
介面：hdmi、type-c usb 3.2 
電池：56whrs  4s1p  4-cell li-ion
重量：2.6 kg
厚度：2.29 ~ 2.54 cm
作業系統：windows 11 (64bit)
保固：2年全球保固 + 首年免預付完美保固



本商品詳細規格",29999,29999,,,,,1,0,['C033413'],ec
DHAS4J-A900EW29L,DHAS4J,/items/DHAS4JA900EW29L/000001_1650625086.jpg,/items/DHAS4JA900EW29L/000001_1650625086.jpg,ASUS FA507RE-0031B6800H 御鐵灰(AMD R7-6800H/8GB*2/RTX3050Ti-4G/512G PCIe/W11/FHD/144Hz),"15.6吋AMD薄邊框電競【ASUS TUF Gaming】ASUS FA507RE-0031B6800H 御鐵灰\r\n▃▅★asus tuf gaming。強勢來襲★▅▃
★全新顯卡視覺享受 rtx3050 ti獨顯4g效能
★超屌效能 amd ryzen 7-6800h 處理器
★超狂容量 512gb m.2 nvme™ pcie® 3.0 ssd
★15.6吋fhd 薄邊寬 144hz
★30分鐘充電50%快充技術
★支援2個m.2 pcie ssd 擴充slot  
★支援雙螢幕輸出
★單區rgb多彩鍵盤 防塵散熱通道
★薄邊框 mil-std-810h通過軍規測試 

處理器：amd ryzen™ 7 6800h processor (20mb cache  up to 4.7 ghz)
記憶體：8gb*2 ddr5 4800
硬碟：512gb m.2 nvme™ pcie® 3.0 ssd
獨立顯卡：nvidia® geforce rtx™ 3050 ti gddr6 4gb(具備mux獨顯直連)
螢幕：15.6’(薄邊框) fhd (1920 x 1080) 16:9 144hz
無線網路：wi-fi 6(802.11ax)+bluetooth 5.2 (dual band) 2*2(*bt version may change with os upgrades.)
光碟機： 無
介面：hdmi 2.0b、type-c usb 3.2 
電池：90whrs  4s1p  4-cell li-ion
重量：2.2 kg
厚度：2.24 ~ 2.49 cm
作業系統：windows 11 (64bit)
保固：2年全球保固 + 首年免預付完美保固


本商品詳細規格",30999,30999,,,,,1,0,['C033413'],ec
DHAS1U-A900G59FL,DHAS1U,/items/DHAS1UA900G59FL/000001_1685326409.jpg,/items/DHAS1UA900G59FL/000001_1685326409.jpg,ASUS FX506HF-0022B11400H 石墨黑(i5-11400H/8G/RTX 2050/512G PCIe/W11/FHD/144Hz/15.6),"RTX20系列 11代i5ASUS FX506HF 15.6吋電競筆電i5-11400H/8G/RTX 2050/512G PCIe\r\n▃▅★asus tuf gaming。強勢來襲★▅▃
★144hz 薄邊框設計
★單區rgb多彩鍵盤
★hdmi & type-c with display port 支援雙螢幕輸出 
★防塵散熱通道 tuf 電競滑鼠 
★實體數字鍵 
★mil-std-810h 軍規測試 
★支援2個m.2 pcie ssd 擴充slot  
★支援adaptivesync 防畫面撕裂技術


處理器：intel® core™ i5-11400h processor 2.7 ghz (12m cache  up to 4.5 ghz  6 cores)
記憶體：8gb ddr4-3200 so-dimm
硬碟：512gb pcie® 3.0 nvme™ m.2 ssd
獨立顯卡:nvidia® geforce rtx™ 2050 4gb gddr6
螢幕：15.6 ""(薄邊框) fhd (1920 x 1080) 16:9 144hz ips-level anti-glare adaptive-sync
無線網路：wi-fi 6(802.11ax) (dual band) 2*2 + bluetooth® 5.2
光碟機： 無
電池：48whrs  3s1p  3-cell li-ion
重量：2.30 kg
厚度：2.28 ~ 2.45 cm
尺寸：35.9 x 25.6 x 2.28 ~ 2.45 cm
作業系統：windows 11 (64bit)
保固：2年全球保固 + 首年免預付完美保固

本商品詳細規格",23999,23999,,,,,1,0,[],ec
DHAS4N-A900B7V2B,DHAS6K,/items/DHAS4NA900B7V2B/000001_1662090482.jpg,/items/DHAS4NA900B7V2B/000001_1662090482.jpg,ASUS ROG Zephyrus G14 GA401QM-0032E5900HS 日蝕灰(R9-5900HS/16+16G/RTX3060-6G/1T PCIe/W10/WQHD),"14吋AMD薄邊框電競【ROG Zephyrus】Zephyrus GA401QM-0032E5900HS 日蝕灰(有燈版)\r\n▃▅★rog zephyrus g14。強勢來襲★▅▃
★全新顯卡視覺享受 rtx3060獨顯6g效能
★超屌效能 搭載2021新世代 amd ryzen 9-5900hs 處理器
★超狂容量 1tb m.2 nvme™ pcie® 3.0 ssd 
★14吋wqhd 120hz ips大屏佔比
★pantone®專業色彩認證   pd3.0充電技術
★輕薄美型   上蓋rog動態編成led技術
★內建內建4喇叭+智慧放大技術


處理器：amd ryzen™ 9 5900hs processor 3.1 ghz
記憶體：16gb ddr4 on board + 16gb ddr4-3200 so-dimm
硬碟：1tb m.2 nvme™ pcie® 3.0 ssd
獨立顯卡：nvidia® geforce rtx™ 3060 6gb gddr6
螢幕：14’(薄邊框) wqhd (2560 x 1440)16:9 120hz ips 300nits
無線網路：wi-fi 6(802.11ax)+bluetooth 5.1 (dual band) 2*2
光碟機： 無
介面：hdmi、type c usb 3.2 gen 2 with power delivery display port and g-sync
電池：76whrs  4s1p  4-cell li-ion
重量：1.7 kg
厚度：1.99cm
作業系統：windows 10 (64bit)
保固：2年全球保固 + 首年免預付完美保固


本商品詳細規格",49900,49900,,,,,1,0,['C033413'],ec
DHAS1U-A900EY9DJ,DHAS1U,/items/DHAS1UA900EY9DJ/000001_1676021420.jpg,/items/DHAS1UA900EY9DJ/000001_1676021420.jpg,ASUS FX506LHB-0291B10300H 戰魂黑(i5-10300H/8G/GTX-1650/512G PCIe/W11/FHD/144Hz/15.6),"15.6吋Intel薄邊框GTX1650獨顯電競【ASUS TUF Gaming F15】ASUS FX506LHB-0291B10300H 戰魂黑\r\n▃▅★asus tuf gaming。強勢來襲★▅▃
★全新顯卡視覺享受gtx 1650 gddr6
★超屌效能 intel® core™ i5-10300h processor 3.1 ghz
★超狂容量 512gb pcie ssd
★全新升級 薄邊框螢幕 144hz
★通過軍規測試 防塵散熱通道
★支援2個m.2 pcie ssd 擴充slot
★hdmi & type-c with display port 支援雙螢幕輸出

處理器：intel® core™ i5-10300h processor 2.5 ghz
記憶體：8gb ddr4 2933
硬碟：512gb m.2 nvme™ pcie® 3.0 ssd
獨立顯卡：nvidia geforce gtx 1650 gddr6 4gb
螢幕：15.6’(薄邊框) fhd 1920x1080 16:9 144hz ips-level  anti glare
無線網路：wi-fi 6(802.11ax)+bluetooth 5.2 (dual band) 2*2
光碟機： 無
介面：hdmi、usb 3.2 gen 2 type-c support displayport™
電池：48whrs  3s1p  3-cell li-io
重量：2.30 kg
厚度：2.47 ~ 2.49 cm
作業系統：windows 11 home
保固：2年全球保固 + 首年免預付完美保固",22999,22999,,,,,1,0,['C033413'],ec
DHAS1U-A900ENFWC,DHAS1U,/items/DHAS1UA900ENFWC/000001_1681120670.jpg,/items/DHAS1UA900ENFWC/000001_1681120670.jpg,ASUS FX507ZE-0041B12700H 御鐵灰(i7-12700H/16GB/RTX3050 Ti/512G SSD/W11/FHD/15.6/144Hz),"ASUS FX507ZE 15.6吋電競筆電 12代I7★RTX3050 Ti\r\n▃▅★asus tuf gaming。強勢來襲★▅▃
★全新顯卡視覺享受 rtx™ 3050ti
★超屌效能 搭載2021新世代 intel® core™ i7-12700h處理器
★超狂容量 pcie 512g ssd 
★全新升級 薄邊框螢幕 144hz  
★單區rgb多彩鍵盤 防塵散熱通道
★全新刀鋒式3d風扇
★0分貝風散寂靜模式

處理器：intel® core™ i7-12700h processor 2.3 ghz
記憶體：16gb ddr5 4800
硬碟：512gb m.2 nvme™ pcie® 3.0 ssd
獨立顯卡：nvidia® geforce rtx™ 3050 ti gddr6 4gb
螢幕：15.6’(薄邊框) fhd 1920x1080 16:9 144hz ips-level  anti glare
無線網路： wi-fi 6(802.11ax)+bluetooth 5.2 (dual band) 2*2
光碟機： 無
電池：56whrs  4s1p  4-cell li-ion
重量：2.2 kg
厚度：2.24 ~ 2.49 cm
作業系統：windows 11 home
保固：2年全球保固 + 首年免預付完美保固


本商品詳細規格",34999,34999,,,,,1,0,['C033413'],ec
DHAS1U-A900G019N,DHAS1U,/items/DHAS1UA900G019N/000001_1685326358.jpg,/items/DHAS1UA900G019N/000001_1685326358.jpg,ASUS FX507VU4-0062B13900H (i9-13900H/8GB*2/RTX 4050/512G PCIe/W11/FHD/144Hz/15.6),"13代i9 RTX4050ASUS FX507VU4 15.6吋電競筆電i9-13900H/8GB*2/RTX 4050/512G PCIe\r\n▃▅★asus tuf gaming。強勢來襲★▅▃
★rtx4050獨顯
★13代i9

處理器：13th gen intel® core™ i9-13900h processor 2.6 ghz (24m  cache  up to 5.4 ghz  14 cores: 6 p-cores and 8 e-cores)
記憶體：8gb ddr4-3200 so-dimm *2
硬碟：512gb pcie® 4.0 nvme™ m.2 ssd
獨立顯卡：nvidia® geforce rtx™ 4050 laptop gpu 6gb gddr6
螢幕：15.6-inch  fhd (1920 x 1080) 16:9  144hz  value ips-level  anti-glare display
無線網路：wi-fi 6(802.11ax) (dual band) 2*2 + bluetooth® 5.2 (*bluetooth® version may change with os version different.)
光碟機： 無
電池：90whrs  4s1p  4-cell li-ion
重量：2.20 kg
厚度：2.24 ~ 2.49 cm
作業系統：windows 11 home
保固：2年全球保固 + 首年免預付完美保固


本商品詳細規格",43999,43999,,,,,1,0,"['C033413', 'C035737', 'C035738']",ec
DHAS76-A900E4H3Y,DHAS75,/items/DHAS76A900E4H3Y/000001_1681784004.jpg,/items/DHAS76A900E4H3Y/000001_1681784004.jpg,ROG Flow Z13 GZ301ZC-0091A12700H 無盡黑(i7-12700H/8G+8G/RTX3050/512G PCIe/W11/WUXGA/13.4),"12代i7 RTX3050ROG GZ301ZC 13.4吋觸控電競i7-12700H/8G+8G/RTX3050/512G PCIe\r\n▃▅★rog flow z13。強勢來襲★▅▃
★超屌效能 搭載intel 第12代 i7-12700h 處理器
★支援wuxga (1920 x 1200) 120hz 觸控螢幕
★100%srgb高色域   pantone®專業色彩認證
★支援 adaptive- sync 防畫面撕裂技術
★大容量 512gb m.2 nvme™ pcie® 4.0 ssd
★支援xg mobile外接顯卡
★cpu 液態金屬技術   pd充電技術

處理器：intel® core™ i7-12700h processor 2.3 ghz 
記憶體：8gb*2 lpddr5 on board
硬碟：512gb m.2 nvme™ pcie® 4.0 ssd
獨立顯卡：nvidia® geforce rtx™ 3050 gddr6 4gb laptop gpu 
螢幕：13.4’ wuxga (1920 x 1200) 16:10 120hz touch screen
無線網路：wi-fi 6e(802.11ax)+bluetooth 5.2 (dual band) 2*2
光碟機： 無
介面：rog xg mobile interface、thunderbolt、type c 3.2
電池：56whrs  4s1p  4-cell li-ion 
重量：1.18 kg
厚度：1.2cm
作業系統：windows 11 (64bit)
保固：2年全球保固 + 首年免預付完美保固


本商品詳細規格",37999,37999,,,,,1,0,[],ec
DHAS4M-A900FAXK6,DHAS4M,/items/DHAS4MA900FAXK6/000001_1662089908.jpg,/items/DHAS4MA900FAXK6/000001_1662089908.jpg,ROG Strix G15 G513RM-0112F6900HX 潮魂黑(R9-6900HX/16G/RTX 3060/512G PCIE/W11/FHD/300Hz/15.6),"AMD 6000系列★RTX3060獨顯★[Strix G 進化 經典潮流]ROG Strix G15 G513RM-0112F6900HX 潮魂黑 15.6吋電競筆電\r\n▃▅★asus rog strix g 。強勢來襲★▅▃ 
★支援type-c pd 充電
★cpu 液態金屬優化散熱
★mux 獨顯直連
★ddr5 4800mhz
★300hz 3ms r9+3060

螢幕：15.6’(薄邊框) fhd 1920x1080 16:9 300hz 3ms ips-level  anti glare ntsc 72% srgb 100%   adaptive-sync   dolby vision
處理器：amd ryzen™ 9 6900hx mobile processor (8-core 16-thread  20mb cache  up to 4.9 ghz max boost)
記憶體：16gb ddr5-4800 so-dimm
硬碟：512gb pcie® 4.0 nvme™ m.2 ssd
獨立顯卡：nvidia® geforce rtx™ 3060 gddr6 6gb(具備mux獨顯直連)
無線網路：wi-fi 6e(802.11ax)+bluetooth 5.2 (dual band) 2*2
光碟機： 無
重量：2.30 kg
厚度：2.26 ~ 2.72 cm
作業系統：windows 11 home
保固：2年全球保固 + 首年免預付完美保固",39999,39999,,,,,1,0,[],ec
DHAS4M-A900DV9SO,DHAS4K,/items/DHAS4MA900DV9SO/000001_1662090013.jpg,/items/DHAS4MA900DV9SO/000001_1662090013.jpg,ASUS ROG Strix SCAR 17 G733ZM-0022S12900H (i9-12900H/8G+8G/RTX 3060/1TB SSD/FHD/360Hz/17.3),"【ROG Strix SCAR 17】G733ZM-0022S12900H 電競筆電\r\n▃▅★asus rog strix scar★▅▃ 
★360hz 超高刷新率
★超爽視覺享受 rtx™ 3060 獨顯6g效能
★超屌效能 搭載全新 intel® core™ i9-12900h 處理器
★17吋大螢幕 更小的機身 85%螢幕機身比 
★兼具潮電競時尚與功能性:4區rgb鍵盤   d件 rgb lightbar   液態金屬散熱
★支援pd3.0充電技術

螢幕：17.3-inch  fhd (1920 x 1080) 16:9  360hz 3ms  ips-level  anti-glare display
處理器：intel® core™ i9-12900h processor 2.5 ghz
記憶體：8gb ddr5-4800 so-dimm *2
硬碟：1tb m.2 nvme™ pcie® 4.0 ssd
獨立顯卡：nvidia® geforce rtx™ 3060 laptop gpu 6gb
無線網路：wi-fi 6e(802.11ax)+bluetooth 5.2 (dual band) 2*2
光碟機： 無
介面：thunderbolt™ 4、hdmi 2.1
重量：2.9 kg
厚度：2.34 ~ 2.83cm
作業系統：windows 11 home
保固：2年全球保固 + 首年免預付完美保固",48999,48999,,,,,1,0,[],ec
